

Date 	Value
May 1, 1969 	724.26
Apr 1, 1969 	703.35
Mar 1, 1969 	693.28
Feb 1, 1969 	714.58
Jan 1, 1969 	722.13
Dec 1, 1968 	756.11
Nov 1, 1968 	750.42
Oct 1, 1968 	741.12
Sep 1, 1968 	727.39
Aug 1, 1968 	706.50
Jul 1, 1968 	724.34
Jun 1, 1968 	729.97
May 1, 1968 	714.98
Apr 1, 1968 	700.94
Mar 1, 1968 	654.64
Feb 1, 1968 	668.79
Jan 1, 1968 	702.45
Dec 1, 1967 	708.53
Nov 1, 1967 	690.94
Oct 1, 1967 	715.43
Sep 1, 1967 	718.68
Aug 1, 1967 	710.90
Jul 1, 1967 	701.86
Jun 1, 1967 	692.01
May 1, 1967 	702.90
Apr 1, 1967 	692.61
Mar 1, 1967 	682.95
Feb 1, 1967 	669.24
Jan 1, 1967 	646.95
Dec 1, 1966 	623.05
Nov 1, 1966 	620.44
Oct 1, 1966 	590.87
Sep 1, 1966 	599.73
Aug 1, 1966 	621.62
Jul 1, 1966 	665.69
Jun 1, 1966 	669.46
May 1, 1966 	677.15
Apr 1, 1966 	714.76
Mar 1, 1966 	697.85
Feb 1, 1966 	730.04
Jan 1, 1966 	739.63
Dec 1, 1965 	727.03
Nov 1, 1965 	732.66
Oct 1, 1965 	726.62
Sep 1, 1965 	712.88
Aug 1, 1965 	689.83
Jul 1, 1965 	677.23
Jun 1, 1965 	678.27
May 1, 1965 	716.62
Apr 1, 1965 	706.11
Mar 1, 1965 	699.18
Feb 1, 1965 	700.78
Jan 1, 1965 	695.69
Dec 1, 1964 	678.24
Nov 1, 1964 	690.20
Oct 1, 1964 	687.63
Sep 1, 1964 	675.96
Aug 1, 1964 	666.68
Jul 1, 1964 	674.42
Jun 1, 1964 	652.37
May 1, 1964 	658.40
Apr 1, 1964 	652.04
Mar 1, 1964 	642.74
Feb 1, 1964 	631.24
Jan 1, 1964 	623.57
Dec 1, 1963 	604.97
Nov 1, 1963 	594.25
Oct 1, 1963 	597.61
Sep 1, 1963 	598.08
Aug 1, 1963 	582.72
Jul 1, 1963 	567.04
Jun 1, 1963 	577.46
May 1, 1963 	579.60
Apr 1, 1963 	568.20
Mar 1, 1963 	542.67
Feb 1, 1963 	546.52
Jan 1, 1963 	539.39
Dec 1, 1962 	519.33
Nov 1, 1962 	497.78
Oct 1, 1962 	465.69
Sep 1, 1962 	480.86
Aug 1, 1962 	486.77
Jul 1, 1962 	473.88
Jun 1, 1962 	464.27
May 1, 1962 	525.69
Apr 1, 1962 	567.92
Mar 1, 1962 	588.56
Feb 1, 1962 	587.98
Jan 1, 1962 	580.28
Dec 1, 1961 	602.71
Nov 1, 1961 	597.16
Oct 1, 1961 	571.29
Sep 1, 1961 	565.07
Aug 1, 1961 	571.43
Jul 1, 1961 	549.78
Jun 1, 1961 	554.99
May 1, 1961 	562.43
Apr 1, 1961 	556.77
Mar 1, 1961 	542.30
Feb 1, 1961 	525.81
Jan 1, 1961 	505.09
Dec 1, 1960 	480.39
Nov 1, 1960 	469.15
Oct 1, 1960 	454.43
Sep 1, 1960 	466.70
Aug 1, 1960 	481.17
Jul 1, 1960 	475.47
Jun 1, 1960 	487.56
May 1, 1960 	471.78
Apr 1, 1960 	476.14
Mar 1, 1960 	471.67
Feb 1, 1960 	478.19
Jan 1, 1960 	499.17
Dec 1, 1959 	506.30
Nov 1, 1959 	490.62
Oct 1, 1959 	488.65
Sep 1, 1959 	490.74
Aug 1, 1959 	512.71
Jul 1, 1959 	515.64
Jun 1, 1959 	497.67
May 1, 1959 	503.73
Apr 1, 1959 	496.25
Mar 1, 1959 	489.77
Feb 1, 1959 	477.65
Jan 1, 1959 	483.39
Dec 1, 1958 	466.49
Nov 1, 1958 	456.28
Oct 1, 1958 	444.34
Sep 1, 1958 	426.98
